name,seller name,price,sales,release date,release month,release year,rating,genres,code,data recording date
【一緒に温泉】道草屋 たびらこ4 ほかほか風邪予防!【お休み歯磨き】,桃色CODE,880,11100,2018年11月24日,11,2018,4.92,癒し バイノーラル/ダミヘ ASMR ほのぼの 着物/和服 ,RJ239448,2020-04-22
【思い出す音】道草屋-稲3 どろたんぼ。他【静かめ耳かき】,桃色CODE,880,5091,2018年06月09日,06,2018,4.83,耳かき 耳舐め ,RJ227037,2020-04-22
【爪切り】道草屋 すずしろ日帰り-雨宿り【鼓膜マッサージ】,桃色CODE,770,10087,2018年07月08日,07,2018,4.9,バイノーラル/ダミヘ 耳かき 耳舐め ,RJ228778,2020-04-22
【こたつ系】道草屋-芹-そんな冬の日【安心耳かき】,桃色CODE,880,8561,2017年12月28日,12,2017,4.91,バイノーラル/ダミヘ 耳かき ,RJ215492,2020-04-22
【皆でお鍋】道草屋-すずな6-新装開店バーバーすずな、他【散髪シャンプー】,桃色CODE,880,8277,2019年02月16日,02,2019,4.93,バイノーラル/ダミヘ 耳かき ,RJ246120,2020-04-22
【大人向け耳かき】道草屋 はこべら5 時計修理のはこべらさん。他【汗の匂い】,桃色CODE,880,13128,2018年09月15日,09,2018,4.89,耳かき 耳舐め ローション ,RJ234446,2020-04-22
【おふろでお手伝い】道草屋 すずしろ お風呂でホットヨガ!他2本【夕焼け野点】,桃色CODE,880,12269,2017年10月15日,10,2017,4.87,バイノーラル/ダミヘ 耳かき ,RJ210534,2020-04-22
【温泉素潜り】道草屋-いのこ2 湯けむりいのこ旅慕情【昔話耳かき】,桃色CODE,880,7730,2018年03月15日,03,2018,4.89,バイノーラル/ダミヘ 耳かき ,RJ220927,2020-04-22
【夏休み耳かき】道草屋-すずな【散髪炭酸ヘッドスパ!●夏休み花火大会●みみかき日記】,桃色CODE,880,8099,2017年08月05日,08,2017,4.87,耳かき ,RJ204846,2020-04-22
【タッチ耳かき】道草屋-たびらこ3-いっしょにタッチケア/はみがきレッスン【骨伝導風はみがき】,桃色CODE,880,9712,2017年06月03日,06,2017,4.86,耳かき ,RJ201117,2020-04-22
【ご旅行耳かき】道草屋 いのこ【乳液耳揉み】,桃色CODE,880,8198,2016年10月29日,10,2016,4.82,癒し バイノーラル/ダミヘ 耳かき ,RJ187542,2020-04-22
【田舎系耳かき】道草屋 稲2 炬燵みかん。【クリーム耳揉み】,桃色CODE,880,6270,2017年01月26日,01,2017,4.79,バイノーラル/ダミヘ 耳かき ,RJ193217,2020-04-22
【日向耳かき】道草屋 はこべら-移動珈琲店/よるの動物さん【這より悪戯】,桃色CODE,880,12804,2017年04月02日,04,2017,4.81,バイノーラル/ダミヘ 耳かき 手コキ 耳舐め ,RJ197305,2020-04-22
【散髪シャンプー】道草屋 すずな『バーバーすずな』【二人で耳かき】,桃色CODE,880,8233,2016年04月23日,04,2016,4.83,バイノーラル/ダミヘ 耳かき ,RJ175660,2020-04-22
【骨伝導風】道草屋 たびらこ-一緒にはみがき【耳かき&はみがき】,桃色CODE,880,12080,2016年02月10日,02,2016,4.83,バイノーラル/ダミヘ 耳かき ,RJ171695,2020-04-22
【不健全はみがき】道草屋 すずしろ-はなびの日【ゆっくり按摩】,桃色CODE,880,12784,2016年09月04日,09,2016,4.84,バイノーラル/ダミヘ 耳かき ,RJ184314,2020-04-22
【二人で耳かき】道草屋-いね たび-おひる。【176khzハイレゾ】,桃色CODE,880,7226,2015年12月12日,12,2015,4.81,癒し バイノーラル/ダミヘ 耳かき ,RJ167676,2020-04-22
【ノスタルジ-耳かき】道草屋-芹 おもいで【二人で怪談】,桃色CODE,880,7913,2016年07月07日,07,2016,4.89,癒し バイノーラル/ダミヘ 耳かき ,RJ180495,2020-04-22
【174khzハイレゾ】道草屋-芹-夏休み【切抜き耳かき】,桃色CODE,880,7366,2015年07月30日,07,2015,4.87,癒し バイノーラル/ダミヘ 耳かき ,RJ159555,2020-04-22
【田舎耳かき】道草屋 はこべら・すずなぱっく,桃色CODE,990,3505,2015年03月27日,03,2015,4.79,癒し バイノーラル/ダミヘ 耳かき ,RJ152487,2020-04-22
【176khzハイレゾ】道草屋 すずしろ-雨の日【耳かき&マッサージ】,桃色CODE,880,16607,2015年06月06日,06,2015,4.78,癒し バイノーラル/ダミヘ 耳かき 手コキ ,RJ156568,2020-04-22
【192khzハイレゾ】道草屋 たびらこ【古宿耳かき】,桃色CODE,770,10228,2015年03月01日,03,2015,4.83,癒し バイノーラル/ダミヘ 耳かき ,RJ151299,2020-04-22
【アイヌ系】道草屋 すずな 囲炉裏の音【うたた寝音声】,桃色CODE,880,6545,2014年12月23日,12,2014,4.83,バイノーラル/ダミヘ 耳かき ,RJ146706,2020-04-22
【温泉&耳かき】道草屋-はこべら-混浴マナー講座【174khzハイレゾ】,桃色CODE,880,12627,2015年09月29日,09,2015,4.83,バイノーラル/ダミヘ 耳かき ,RJ163504,2020-04-22
【田舎耳かき】道草屋 芹-ご連泊【ソルフェジオ音源】,桃色CODE,880,6325,2014年09月13日,09,2014,4.85,バイノーラル/ダミヘ 耳かき ,RJ141480,2020-04-22
【原風景耳かき】道草屋 稲【ソルフェジオ音源】,桃色CODE,770,3997,2014年11月01日,11,2014,4.74,バイノーラル/ダミヘ 耳かき ,RJ144160,2020-04-22
【寝たふり悪戯】道草屋 はこべら-ウソツキ【マッサージ】,桃色CODE,770,7787,2014年07月27日,07,2014,4.78,バイノーラル/ダミヘ 耳かき 手コキ ,RJ138490,2020-04-22
【田舎耳かき】道草屋 すずしろ-縁側 【あまがみ】,桃色CODE,880,8361,2014年06月10日,06,2014,4.83,耳かき ,RJ136046,2020-04-22
【甘がみ】道草屋 すずな-ひろいもの-【マッサージ】,桃色CODE,770,7619,2014年05月02日,05,2014,4.81,耳かき 手コキ ,RJ133662,2020-04-22
【耳かきセット】道草屋  すずしろ&芹ver1.5【耳舐め】,桃色CODE,1100,4879,2014年03月03日,03,2014,4.82,耳かき ,RJ130931,2020-04-22
【甘がみ】道草屋 芹-ほろよい-【マッサージ】,桃色CODE,770,8228,2014年02月19日,02,2014,4.81,耳かき ローション ,RJ130297,2020-04-22
【箱庭耳かき】安眠店 道草屋  はこべら【耳舐め】,桃色CODE,770,4275,2014年03月30日,03,2014,4.77,耳かき ,RJ132167,2020-04-22
【耳かき】耳かき安眠店 道草屋  すずな【甘がみ】,桃色CODE,770,3512,2014年01月25日,01,2014,4.79,耳かき ,RJ129030,2020-04-22
【耳なめ】道草屋  すずしろ 連夜【マッサージ】,桃色CODE,770,8979,2014年01月10日,01,2014,4.75,耳かき ローション ,RJ127961,2020-04-22
【耳かき】耳かき安眠店 道草屋  せり ver1.5【耳舐め】,桃色CODE,770,2498,2013年12月17日,12,2013,4.74,耳かき ,RJ126604,2020-04-22
【耳かき】耳かき安眠店 道草屋  すずしろ ver1.5【耳舐め】,桃色CODE,770,3257,2013年11月30日,11,2013,4.7,バイノーラル/ダミヘ 耳かき ,RJ125930,2020-04-22
